table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
1,"New York city, New York","8,805,594","8,740,306","8,453,772","8,356,179","8,390,888","8,478,072",,,,,,,,,,,
2,"Los Angeles city, California","3,899,449","3,896,329","3,830,987","3,832,998","3,847,428","3,878,704",,,,,,,,,,,
3,"Chicago city, Illinois","2,748,331","2,745,196","2,706,324","2,684,076","2,699,144","2,721,308",,,,,,,,,,,
4,"Houston city, Texas","2,300,351","2,298,945","2,291,070","2,314,258","2,346,908","2,390,125",,,,,,,,,,,
5,"Phoenix city, Arizona","1,608,415","1,612,593","1,625,132","1,644,798","1,656,231","1,673,164",,,,,,,,,,,
6,"Philadelphia city, Pennsylvania","1,603,794","1,600,788","1,589,918","1,570,554","1,563,349","1,573,916",,,,,,,,,,,
7,"San Antonio city, Texas","1,434,322","1,439,340","1,454,238","1,475,931","1,502,711","1,526,656",,,,,,,,,,,
8,"San Diego city, California","1,384,429","1,384,824","1,374,972","1,388,730","1,394,555","1,404,452",,,,,,,,,,,
9,"Dallas city, Texas","1,304,345","1,303,426","1,290,070","1,303,012","1,317,163","1,326,087",,,,,,,,,,,
10,"Jacksonville city, Florida","949,618","951,925","957,537","975,614","993,468","1,009,833",,,,,,,,,,,
11,"Fort Worth city, Texas","918,923","923,645","937,692","959,520","984,664","1,008,106",,,,,,,,,,,
12,"San Jose city, California","1,013,419","1,009,686","981,446","978,451","983,734","997,368",,,,,,,,,,,
13,"Austin city, Texas","961,899","965,893","969,940","979,214","989,583","993,588",,,,,,,,,,,
14,"Charlotte city, North Carolina","874,687","874,948","882,341","898,699","920,053","943,476",,,,,,,,,,,
15,"Columbus city, Ohio","906,022","906,466","902,862","911,227","920,569","933,263",,,,,,,,,,,
16,"Indianapolis city (balance), Indiana","887,644","887,213","882,456","884,168","885,839","891,484",,,,,,,,,,,
17,"San Francisco city, California","878,392","874,826","815,498","814,176","819,151","827,526",,,,,,,,,,,
18,"Seattle city, Washington","737,020","740,600","733,700","751,454","764,182","780,995",,,,,,,,,,,
19,"Denver city, Colorado","715,513","717,620","711,530","714,851","721,367","729,019",,,,,,,,,,,
20,"Oklahoma City city, Oklahoma","681,069","683,084","688,596","696,756","704,567","712,919",,,,,,,,,,,
21,"Nashville-Davidson metropolitan government (balance), Tennessee","689,451","689,726","675,671","685,903","694,294","704,963",,,,,,,,,,,
22,"Washington city, District of Columbia","689,545","670,917","669,256","676,725","687,324","702,250",,,,,,,,,,,
23,"El Paso city, Texas","678,959","679,382","678,546","679,247","681,573","681,723",,,,,,,,,,,
24,"Las Vegas city, Nevada","645,822","647,763","651,868","656,716","666,630","678,922",,,,,,,,,,,
25,"Boston city, Massachusetts","678,622","675,522","658,581","660,080","664,603","673,458",,,,,,,,,,,
26,"Detroit city, Michigan","639,471","638,367","634,939","634,702","638,914","645,705",,,,,,,,,,,
27,"Louisville/Jefferson County metro government (balance), Kentucky","631,890","631,847","627,376","627,172","632,162","640,796",,,,,,,,,,,
28,"Portland city, Oregon","652,522","653,166","642,803","636,093","634,314","635,749",,,,,,,,,,,
29,"Memphis city, Tennessee","628,546","628,388","622,541","618,468","614,587","610,919",,,,,,,,,,,
30,"Baltimore city, Maryland","585,720","583,189","576,575","570,663","567,517","568,271",,,,,,,,,,,
31,"Milwaukee city, Wisconsin","577,897","577,157","566,415","564,614","563,052","563,531",,,,,,,,,,,
32,"Albuquerque city, New Mexico","564,549","564,885","563,441","561,422","561,094","560,326",,,,,,,,,,,
33,"Tucson city, Arizona","542,649","542,649","541,283","547,476","549,932","554,013",,,,,,,,,,,
34,"Fresno city, California","542,235","542,714","543,931","545,874","547,260","550,105",,,,,,,,,,,
35,"Sacramento city, California","524,908","525,579","525,496","526,715","529,792","535,798",,,,,,,,,,,
36,"Atlanta city, Georgia","498,792","499,998","492,892","500,249","513,184","520,070",,,,,,,,,,,
37,"Mesa city, Arizona","504,374","505,950","509,284","512,545","513,993","517,151",,,,,,,,,,,
38,"Kansas City city, Missouri","507,984","508,096","508,995","508,913","511,300","516,032",,,,,,,,,,,
39,"Raleigh city, North Carolina","467,911","465,861","471,377","475,200","491,078","499,825",,,,,,,,,,,
40,"Colorado Springs city, Colorado","480,378","481,713","484,837","488,136","491,301","493,554",,,,,,,,,,,
41,"Omaha city, Nebraska","491,875","492,783","488,727","486,666","486,780","489,265",,,,,,,,,,,
42,"Miami city, Florida","442,244","442,828","441,630","456,736","470,677","487,014",,,,,,,,,,,
43,"Virginia Beach city, Virginia","459,444","459,673","458,599","454,886","453,779","454,808",,,,,,,,,,,
44,"Long Beach city, California","466,766","465,593","455,157","454,168","451,762","450,901",,,,,,,,,,,
45,"Oakland city, California","440,679","440,983","436,836","436,544","439,455","443,554",,,,,,,,,,,
46,"Minneapolis city, Minnesota","429,983","430,738","427,853","422,613","426,569","428,579",,,,,,,,,,,
47,"Bakersfield city, California","404,368","405,220","409,542","412,996","414,626","417,468",,,,,,,,,,,
48,"Tulsa city, Oklahoma","413,143","413,663","412,923","413,062","414,035","415,154",,,,,,,,,,,
49,"Tampa city, Florida","385,288","388,564","393,609","401,611","409,742","414,547",,,,,,,,,,,
50,"Arlington city, Texas","394,377","394,380","393,559","395,943","401,203","403,672",,,,,,,,,,,
51,"Aurora city, Colorado","386,333","386,804","390,589","394,128","397,573","403,130",,,,,,,,,,,
52,"Wichita city, Kansas","397,572","398,067","396,708","396,203","397,656","400,991",,,,,,,,,,,
53,"Cleveland city, Ohio","372,626","371,853","365,432","363,622","364,276","365,379",,,,,,,,,,,
54,"New Orleans city, Louisiana","384,130","383,374","377,547","370,473","365,167","362,701",,,,,,,,,,,
55,"Henderson city, Nevada","316,893","318,660","322,079","330,645","339,280","350,039",,,,,,,,,,,
56,"Urban Honolulu CDP, Hawaii","350,956","348,442","346,580","343,974","343,531","344,967",,,,,,,,,,,
57,"Anaheim city, California","346,810","346,665","344,803","343,626","342,883","344,561",,,,,,,,,,,
58,"Orlando city, Florida","307,785","307,868","309,928","318,821","327,390","334,854",,,,,,,,,,,
59,"Lexington-Fayette urban county, Kentucky","322,566","322,628","320,431","321,505","324,624","329,437",,,,,,,,,,,
60,"Stockton city, California","320,802","320,971","321,737","321,374","322,581","324,975",,,,,,,,,,,
61,"Riverside city, California","315,478","315,534","314,157","320,339","321,560","323,757",,,,,,,,,,,
62,"Irvine city, California","307,682","308,450","303,431","312,918","315,065","318,683",,,,,,,,,,,
63,"Corpus Christi city, Texas","318,066","318,285","318,162","316,441","316,978","317,317",,,,,,,,,,,
64,"Newark city, New Jersey","311,553","310,665","307,456","306,333","309,225","317,303",,,,,,,,,,,
65,"Santa Ana city, California","310,534","311,226","311,004","311,755","312,642","316,184",,,,,,,,,,,
66,"Cincinnati city, Ohio","309,561","309,604","308,701","310,211","312,703","314,915",,,,,,,,,,,
67,"Pittsburgh city, Pennsylvania","302,960","302,798","305,427","303,057","304,766","307,668",,,,,,,,,,,
68,"St. Paul city, Minnesota","311,483","311,127","307,666","305,034","305,147","307,465",,,,,,,,,,,
69,"Greensboro city, North Carolina","299,190","295,873","297,851","301,039","303,889","307,381",,,,,,,,,,,
70,"Jersey City city, New Jersey","292,749","291,960","285,143","292,360","298,215","302,824",,,,,,,,,,,
